city,year,gdp_billions
St. Louis,2013,115.826158
St. Louis,2014,119.776297
St. Louis,2015,125.072673
St. Louis,2016,129.340032
St. Louis,2017,131.723657
St. Louis,2018,135.541301
St. Louis,2019,140.521596
St. Louis,2020,140.145695
St. Louis,2021,152.655832
St. Louis,2022,166.487048
St. Louis,2023,178.98267
Austin,2013,82.041147
Austin,2014,88.84886
Austin,2015,98.197229
Austin,2016,104.247593
Austin,2017,109.993936
Austin,2018,117.874107
Austin,2019,127.19218
Austin,2020,132.390163
Austin,2021,152.239668
Austin,2022,176.087765
Austin,2023,191.331835
Dallas,2013,247.981356
Dallas,2014,260.580301
Dallas,2015,276.445245
Dallas,2016,287.979271
Dallas,2017,302.990699
Dallas,2018,322.26865
Dallas,2019,343.291433
Dallas,2020,346.3897
Dallas,2021,387.51577
Dallas,2022,436.719815
Dallas,2023,471.951099
Memphis,2013,86.133137
Memphis,2014,88.130882
Memphis,2015,92.178481
Memphis,2016,95.360797
Memphis,2017,98.628971
Memphis,2018,102.498311
Memphis,2019,105.616493
Memphis,2020,107.196929
Memphis,2021,119.932103
Memphis,2022,129.186248
Memphis,2023,139.333525
Tulsa,2013,45.124136
Tulsa,2014,47.914808
Tulsa,2015,48.840534
Tulsa,2016,46.311845
Tulsa,2017,49.464978
Tulsa,2018,52.528852
Tulsa,2019,52.049497
Tulsa,2020,49.2324
Tulsa,2021,54.278247
Tulsa,2022,59.176325
Tulsa,2023,64.980954
